Star_Name	Colon_Name
KIR3DL2*00710	IPD:KIR00997
KIR3DL2*008	IPD:KIR00072
KIR3DL2*00901	IPD:KIR00073
KIR3DL2*00902	IPD:KIR00134
KIR3DL2*00903	IPD:KIR00457
KIR3DL2*01001	IPD:KIR00074
KIR3DL2*01002	IPD:KIR00784
KIR3DL2*01003	IPD:KIR00840
KIR3DL2*01004	IPD:KIR00883
KIR3DL2*01101	IPD:KIR00075
KIR3DL2*01102	IPD:KIR00544
KIR3DL2*01103	IPD:KIR00549
KIR3DL2*012	IPD:KIR00076
KIR3DL2*01301	IPD:KIR00107
KIR3DL2*01302	IPD:KIR00597
KIR3DL2*01303	IPD:KIR00598
KIR3DL2*014	IPD:KIR00135
KIR3DL2*015	IPD:KIR00136
KIR3DL2*016	IPD:KIR00137
KIR3DL2*017	IPD:KIR00204
KIR3DL2*018	IPD:KIR00205
KIR3DL2*01901	IPD:KIR00206
KIR3DL2*01902	IPD:KIR00931
KIR3DL2*020	IPD:KIR00207
KIR3DL2*021	IPD:KIR00210
KIR3DL2*022	IPD:KIR00237
KIR3DL2*023	IPD:KIR00279
KIR3DL2*024	IPD:KIR00281
KIR3DL2*025	IPD:KIR00282
KIR3DL2*026	IPD:KIR00283
KIR3DL2*027	IPD:KIR00284
KIR3DL2*028	IPD:KIR00285
KIR3DL2*029	IPD:KIR00286
KIR3DL2*030	IPD:KIR00288
KIR3DL2*031	IPD:KIR00289
KIR3DL2*032	IPD:KIR00290
KIR3DL2*033	IPD:KIR00291
KIR3DL2*034	IPD:KIR00292
KIR3DL2*035	IPD:KIR00343
KIR3DL2*036	IPD:KIR00344
KIR3DL2*037	IPD:KIR00345
KIR3DL2*038	IPD:KIR00346
KIR3DL2*039	IPD:KIR00347
